2026-04-23 01:32:16 | ERROR    | bot.orders | Order placement failed: Binance API error -2019: Margin is insufficient.
2026-04-23 01:33:27 | INFO     | cli | Bot started | symbol=BTCUSDT side=BUY type=MARKET qty=0.005 price=None stop=None
2026-04-23 01:33:27 | DEBUG    | bot.client | GET https://demo-fapi.binance.com/fapi/v1/ping params={}
2026-04-23 01:33:28 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.005 price=MARKET stop=N/A
2026-04-23 01:33:28 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.005', 'timestamp': 1776888208146, 'recvWindow': 10000}
2026-04-23 01:33:28 | DEBUG    | bot.client | Order response: {'orderId': 13062679197, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'CfzbKUbsXsyvBa3VLwJINr', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0050', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776888208068}
2026-04-23 01:33:28 | INFO     | bot.orders | Order SUCCESS | orderId=13062679197 status=NEW executedQty=0.0000
2026-04-23 01:36:15 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.005 price=MARKET stop=N/A
2026-04-23 01:36:15 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.005', 'timestamp': 1776888375779, 'recvWindow': 10000}
2026-04-23 01:36:16 | ERROR    | bot.client | Binance API error -1022: Signature for this request is not valid.
2026-04-23 01:42:41 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.0005 price=MARKET stop=N/A
2026-04-23 01:42:41 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.0005', 'timestamp': 1776888761111, 'recvWindow': 10000}
2026-04-23 01:42:41 | ERROR    | bot.client | Binance API error -1022: Signature for this request is not valid.
2026-04-23 01:42:46 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.0005 price=MARKET stop=N/A
2026-04-23 01:42:46 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.0005', 'timestamp': 1776888766598, 'recvWindow': 10000}
2026-04-23 01:42:47 | ERROR    | bot.client | Binance API error -1022: Signature for this request is not valid.
2026-04-23 01:46:02 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.01 price=MARKET stop=N/A
2026-04-23 01:46:02 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1776888962699, 'recvWindow': 10000}
2026-04-23 01:46:03 | ERROR    | bot.client | Binance API error -1022: Signature for this request is not valid.
2026-04-23 01:47:32 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.01 price=MARKET stop=N/A
2026-04-23 01:47:32 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1776889052914, 'recvWindow': 10000}
2026-04-23 01:47:33 | ERROR    | bot.client | Binance API error -2019: Margin is insufficient.
2026-04-23 01:47:48 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.0006 price=MARKET stop=N/A
2026-04-23 01:47:48 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.0006', 'timestamp': 1776889068477, 'recvWindow': 10000}
2026-04-23 01:47:48 | ERROR    | bot.client | Binance API error -4164: Order's notional must be no smaller than 50 (unless you choose reduce only).
2026-04-23 01:48:04 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.005 price=MARKET stop=N/A
2026-04-23 01:48:04 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.005', 'timestamp': 1776889084848, 'recvWindow': 10000}
2026-04-23 01:48:05 | ERROR    | bot.client | Binance API error -2019: Margin is insufficient.
2026-04-23 01:48:18 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.001 price=MARKET stop=N/A
2026-04-23 01:48:18 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1776889098045, 'recvWindow': 10000}
2026-04-23 01:48:18 | ERROR    | bot.client | Binance API error -2019: Margin is insufficient.
2026-04-23 01:48:30 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.0001 price=MARKET stop=N/A
2026-04-23 01:48:30 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.0001', 'timestamp': 1776889110804, 'recvWindow': 10000}
2026-04-23 01:48:31 | ERROR    | bot.client | Binance API error -4164: Order's notional must be no smaller than 50 (unless you choose reduce only).
2026-04-23 01:48:48 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.0001 price=MARKET stop=N/A
2026-04-23 01:48:48 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.0001', 'timestamp': 1776889128023, 'recvWindow': 10000}
2026-04-23 01:48:48 | ERROR    | bot.client | Binance API error -4164: Order's notional must be no smaller than 50 (unless you choose reduce only).
2026-04-23 01:48:51 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.0001 price=MARKET stop=N/A
2026-04-23 01:48:51 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.0001', 'timestamp': 1776889131695, 'recvWindow': 10000}
2026-04-23 01:48:52 | ERROR    | bot.client | Binance API error -4164: Order's notional must be no smaller than 50 (unless you choose reduce only).
